  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 12:29:19	  -6.000	  126.51	 1029.90	   21.58	  850.11	   1.217	 -158.46	  202.61	  247.62	  187.11	   89.16	   53.73	   27.08	    0.29	   -7.65	   -5.35	  -22.90	  -34.52	  -36.19	  -32.68	  -27.49	  -23.31	  -27.67	  -21.81	  -15.52	   -1.20	    2.61	    0.44	    4.02	    4.56	    7.40	 -155.15	 -566.11	 -571.85	 -479.08	 -228.01	 -186.66	 -161.68	 -130.99	 -110.64	 -104.45	  -93.24	  -86.09	  -75.70	  -67.27	  -59.62	  -53.16	  -44.94	  -38.16	  -28.48	  -21.22	  -11.06	   -4.34	    5.00	    7.40	  298.15	  298.80	  300.88	  269.47	  265.82	  298.22	  303.28	  307.83	  266.90	  296.18	  295.82	  268.23	  265.81	  300.08	  292.37	  304.44	  272.97	  270.28	  270.32	  269.20	  263.89	  247.28	  228.90	  208.05	  194.90	  208.63	  233.75	  258.48	  266.48	  274.29	  277.59	  266.05	  268.83	  270.19	  269.74	  272.49	  274.98	  271.14	  268.97	  268.64	  270.19	  269.32	  272.23	  274.03	  272.03	  271.36	  272.14	  266.68	   10.25	   10.91	   10.92	   10.18	   10.97	   12.77	   13.63	   11.95	   11.09	   11.89	   11.52	   10.73	    1.14	   -1.42	   -2.05	   -1.34
       2	 12:29:56	  -5.000	  126.93	 1029.89	   21.77	  849.96	   1.217	  -83.15	  212.37	  236.24	  162.74	   65.73	   31.35	    7.39	  -19.45	  -23.48	  -20.39	  -36.38	  -47.97	  -47.85	  -42.90	  -36.97	  -32.10	  -35.79	  -28.57	  -21.94	   -8.01	   -4.77	   -7.25	   -4.60	   -3.88	   12.22	  -78.51	 -502.42	 -475.84	 -402.46	 -186.18	 -163.71	 -139.21	 -113.86	  -95.32	  -90.86	  -81.11	  -75.08	  -65.80	  -58.27	  -51.52	  -45.85	  -38.11	  -31.63	  -22.38	  -15.24	   -5.17	    1.80	   11.55	   12.22	  297.89	  298.38	  300.61	  269.11	  265.49	  297.91	  302.77	  307.36	  266.40	  295.69	  295.29	  267.86	  265.46	  299.75	  291.93	  304.04	  272.56	  269.88	  270.04	  268.18	  260.47	  242.06	  225.07	  214.15	  216.36	  242.89	  262.30	  272.86	  270.15	  274.45	  277.26	  265.64	  269.16	  269.54	  269.99	  272.68	  275.46	  271.43	  269.28	  268.80	  270.33	  269.69	  272.34	  274.27	  272.14	  271.70	  272.30	  266.84	    9.93	   11.65	   11.60	   10.72	   11.34	   13.20	   13.66	   12.12	   11.07	   11.75	   11.31	   11.63	    1.02	   -1.41	   -2.04	   -1.34
       3	 12:30:33	  -4.000	  126.80	 1029.87	   21.87	  850.01	   1.216	   -6.92	  211.54	  215.57	  135.27	   38.83	    8.31	   -8.90	  -39.89	  -40.88	  -37.18	  -49.16	  -58.97	  -58.57	  -53.76	  -47.20	  -40.06	  -45.29	  -35.66	  -28.96	  -15.36	  -13.57	  -15.76	  -13.42	  -13.63	   16.46	   -1.74	 -482.53	 -335.16	 -237.91	 -183.81	 -153.23	 -122.89	  -95.15	  -76.84	  -74.39	  -67.20	  -63.47	  -55.59	  -49.47	  -43.75	  -39.07	  -32.10	  -26.37	  -17.62	  -10.77	   -0.89	    6.18	   16.10	   16.46	  296.90	  297.73	  299.57	  268.26	  264.69	  296.94	  302.03	  306.63	  265.47	  294.79	  294.60	  267.00	  264.65	  298.87	  290.99	  303.21	  271.94	  269.18	  269.22	  268.71	  267.38	  257.90	  244.76	  228.40	  222.40	  241.76	  259.74	  270.80	  268.93	  273.48	  276.28	  264.68	  269.46	  269.10	  270.32	  273.07	  275.54	  271.68	  269.62	  269.24	  270.65	  270.05	  272.83	  274.80	  272.32	  271.92	  272.63	  267.08	    9.25	   11.77	   11.68	   10.66	   11.18	   12.48	   13.87	   11.72	   10.55	   11.15	   10.65	   11.93	    0.68	   -1.41	   -2.04	   -1.32
       4	 12:30:58	  -3.000	  127.42	 1029.87	   21.94	  850.26	   1.216	   81.75	  215.22	  193.70	  108.28	   16.63	  -13.28	  -27.04	  -54.87	  -54.42	  -48.95	  -62.16	  -69.11	  -67.00	  -60.70	  -51.79	  -45.18	  -48.90	  -39.03	  -33.14	  -20.07	  -19.47	  -22.22	  -21.16	   -1.70	   16.56	   84.34	 -329.96	 -259.69	 -187.57	 -145.77	 -123.18	 -105.32	  -84.69	  -69.87	  -68.81	  -61.96	  -58.53	  -51.63	  -46.43	  -42.07	  -37.95	  -31.28	  -24.97	  -15.15	   -7.06	    3.60	   10.57	   20.05	   16.56	  298.01	  298.70	  300.73	  269.16	  265.78	  298.14	  303.04	  307.73	  266.60	  295.90	  295.68	  268.03	  265.83	  299.98	  292.14	  304.32	  272.91	  270.25	  270.35	  269.23	  263.81	  249.57	  239.25	  236.81	  242.38	  259.13	  269.94	  275.29	  270.69	  274.75	  277.51	  265.92	  269.98	  270.12	  270.79	  273.88	  276.14	  272.34	  270.18	  269.86	  271.08	  270.47	  273.21	  275.09	  272.79	  272.45	  273.21	  267.55	    9.28	   12.42	   12.33	   11.26	   11.80	   14.22	   14.76	   12.37	   10.67	   11.26	   10.76	   12.68	    0.72	   -1.38	   -2.04	   -1.50
       5	 12:31:37	  -2.000	  127.53	 1029.87	   22.03	  850.04	   1.215	  163.16	  206.52	  162.13	   74.80	   -8.92	  -35.37	  -47.66	  -71.61	  -69.69	  -62.17	  -73.17	  -78.23	  -75.48	  -68.00	  -57.90	  -50.59	  -54.15	  -44.54	  -40.30	  -27.64	  -28.79	  -32.26	  -27.16	   20.95	   16.25	  163.08	 -193.20	 -185.66	 -142.90	 -116.50	 -100.97	  -88.20	  -69.82	  -57.09	  -57.78	  -52.07	  -49.67	  -43.46	  -38.78	  -34.78	  -31.38	  -26.28	  -22.79	  -17.11	  -14.22	   -8.90	   -4.12	   12.53	   16.25	  296.59	  297.24	  299.37	  267.96	  264.94	  296.67	  301.70	  306.32	  265.41	  294.61	  294.37	  266.77	  264.20	  298.38	  290.69	  303.07	  271.48	  268.62	  268.66	  267.17	  263.15	  251.82	  243.10	  240.33	  241.78	  256.36	  267.28	  273.27	  269.38	  273.24	  276.06	  264.50	  268.75	  269.61	  269.58	  273.00	  274.92	  271.04	  269.02	  268.60	  270.04	  269.45	  272.06	  273.97	  271.57	  271.33	  271.99	  266.41	    8.91	   12.35	   12.25	   11.05	   11.40	   13.84	   13.99	   11.79	   10.41	   10.86	   10.38	   12.66	    0.38	   -1.46	   -2.01	   -1.38
       6	 12:32:12	  -1.000	  127.51	 1029.86	   22.10	  849.48	   1.215	  222.06	  187.00	  124.38	   38.57	  -37.78	  -62.16	  -68.58	  -89.37	  -87.02	  -76.33	  -86.18	  -91.46	  -85.14	  -77.47	  -64.87	  -56.57	  -60.46	  -52.41	  -48.46	  -37.50	  -38.24	  -44.00	    2.64	   29.90	   18.73	  224.69	  -65.37	 -113.67	  -97.13	  -86.42	  -78.32	  -70.01	  -53.74	  -43.09	  -45.42	  -41.20	  -39.80	  -34.67	  -30.86	  -27.53	  -24.65	  -19.90	  -16.44	  -10.52	   -7.38	   -2.35	   -1.43	    2.10	   18.73	  296.85	  297.34	  299.71	  268.04	  265.16	  296.99	  301.76	  306.55	  265.56	  294.85	  294.54	  266.99	  264.49	  298.75	  290.88	  303.22	  271.84	  268.85	  268.95	  267.21	  263.54	  252.45	  244.30	  241.67	  242.37	  255.40	  265.99	  272.81	  269.23	  273.51	  276.33	  264.70	  268.89	  269.20	  269.81	  273.14	  275.07	  271.13	  269.13	  268.77	  270.11	  269.38	  272.30	  274.23	  272.03	  271.41	  272.18	  266.51	    8.27	   12.23	   12.12	   10.85	   10.98	   13.81	   13.48	   11.52	    9.90	   10.32	    9.80	   12.66	   -0.08	   -1.44	   -2.03	   -1.38
       7	 12:32:42	  -0.000	  128.50	 1029.86	   22.15	  850.37	   1.215	  254.97	  151.35	   79.11	   -1.46	  -70.37	  -88.14	  -90.95	 -108.67	 -103.10	  -90.74	  -99.68	 -102.93	  -96.49	  -85.54	  -72.71	  -64.81	  -67.95	  -61.95	  -58.55	  -48.35	  -49.47	  -20.90	   16.03	   28.54	   24.29	  255.48	   42.95	  -44.84	  -54.90	  -56.97	  -55.84	  -51.24	  -37.95	  -29.39	  -33.21	  -30.49	  -30.23	  -26.03	  -23.14	  -20.51	  -18.33	  -14.02	  -10.86	   -5.00	   -1.60	    3.97	    5.40	    8.56	   24.29	  298.37	  298.77	  301.33	  269.73	  266.64	  298.44	  303.56	  308.01	  266.96	  296.28	  295.96	  268.45	  265.94	  300.24	  292.37	  304.70	  273.23	  270.67	  270.60	  268.88	  265.84	  258.65	  251.69	  243.90	  240.17	  253.04	  263.50	  271.03	  269.53	  274.90	  277.92	  266.24	  270.57	  271.08	  271.45	  274.84	  276.60	  272.88	  270.76	  270.39	  271.82	  271.01	  273.82	  275.89	  273.57	  273.21	  273.82	  268.17	    8.30	   12.78	   12.66	   11.32	   11.48	   13.03	   13.24	   11.56	   10.04	   10.39	    9.88	   13.30	   -0.08	   -1.46	   -2.03	   -1.34
       8	 12:33:13	   1.000	  127.34	 1029.83	   22.20	  850.26	   1.215	  259.11	   99.26	   16.14	  -53.28	 -110.83	 -120.06	 -117.10	 -132.86	 -123.93	 -109.05	 -115.20	 -117.76	 -108.96	  -97.70	  -84.38	  -77.52	  -80.11	  -75.26	  -72.13	  -62.54	  -61.75	   -9.27	   11.33	   18.79	   17.33	  258.96	  142.80	   26.60	   -6.23	  -21.28	  -27.66	  -27.70	  -17.97	  -11.56	  -17.27	  -15.79	  -16.66	  -13.70	  -11.51	   -9.47	   -7.94	   -4.10	   -1.22	    4.73	    8.36	   14.13	   15.69	   18.79	   17.33	  296.45	  296.80	  299.28	  267.80	  264.86	  296.70	  301.37	  306.17	  265.28	  294.44	  294.19	  266.50	  264.10	  298.26	  290.56	  302.83	  271.37	  268.55	  268.75	  268.43	  268.80	  265.98	  255.87	  239.79	  229.01	  241.67	  257.27	  269.37	  268.25	  273.00	  275.88	  264.27	  268.73	  268.74	  269.59	  273.05	  274.69	  270.99	  269.00	  268.63	  270.14	  269.32	  272.14	  274.01	  271.81	  271.25	  272.11	  266.68	    7.47	   13.05	   12.87	   11.35	   11.35	   13.48	   14.54	   11.21	    9.49	    9.68	    9.16	   13.72	   -0.28	   -1.46	   -2.01	   -1.34
       9	 12:33:35	   2.000	  124.81	 1029.83	   22.24	  849.92	   1.215	  243.56	   41.25	  -36.86	  -95.82	 -142.02	 -144.74	 -136.96	 -148.67	 -137.28	 -120.44	 -123.18	 -125.87	 -114.80	 -103.29	  -90.16	  -83.62	  -87.48	  -83.22	  -80.69	  -73.40	  -24.19	   -1.08	    8.84	   17.35	   23.43	  245.37	  201.55	   79.70	   30.66	    5.39	   -5.26	   -8.76	   -1.96	    2.63	   -4.60	   -4.47	   -6.45	   -4.41	   -3.24	   -2.16	   -1.55	    1.35	    3.37	    8.57	   11.71	   17.58	   19.90	   23.90	   23.43	  293.46	  293.87	  295.79	  265.57	  261.90	  293.57	  298.42	  303.20	  262.05	  291.39	  291.14	  263.56	  260.94	  294.83	  287.38	  299.86	  268.06	  265.22	  265.62	  265.22	  263.60	  250.48	  236.17	  231.07	  234.02	  252.14	  264.74	  270.53	  266.06	  269.87	  272.75	  261.07	  266.78	  267.20	  267.73	  271.24	  272.71	  269.14	  267.16	  266.74	  268.36	  267.51	  270.25	  272.15	  270.00	  269.27	  270.18	  264.69	    7.99	   14.34	   14.09	   12.48	   12.39	   14.69	   15.51	   12.20	   10.16	   10.30	    9.81	   15.13	    0.58	   -1.46	   -2.03	   -1.46
